n_id,dwp_id,du_id
260,15,7
261,15,30
262,15,15
263,15,22
264,15,11
265,15,19
276,17,8
277,17,10
278,17,23
279,17,41
280,17,7
281,17,30
282,17,11
283,17,19
285,21,12
290,52,19
294,26,39
295,26,13
296,26,22
301,55,24
302,55,32
303,55,22
304,55,11
309,57,24
310,57,32
311,57,22
312,57,11
317,59,24
318,59,32
319,59,22
320,59,11
324,60,11
325,61,24
326,61,32
327,61,22
328,61,11
329,62,24
330,62,36
331,62,32
332,62,15
333,62,22
334,62,11
335,63,24
336,63,36
337,63,32
338,63,15
339,63,22
340,63,11
341,64,24
342,64,11
343,65,24
344,65,11
345,66,24
346,66,22
347,66,11
348,67,24
349,67,22
350,67,11
351,68,22
1465,196,58
2826,323,62
354,69,22
2160,220,7
356,70,22
358,71,22
1530,237,18
360,72,22
1109,175,22
362,73,22
1531,237,24
364,74,22
374,32,9
375,32,25
376,32,8
377,32,34
378,32,39
379,32,24
380,32,16
381,32,40
382,32,13
383,32,4
384,32,10
385,32,37
386,32,23
387,32,28
388,32,26
389,32,41
390,32,7
391,32,21
392,32,30
393,32,36
394,32,33
395,32,32
396,32,31
397,32,15
398,32,22
399,32,17
400,32,27
401,32,35
402,32,38
403,32,29
404,32,11
405,32,19
406,32,12
407,32,20
411,16,40
412,16,27
413,16,38
414,16,29
419,76,24
420,76,21
421,76,22
422,76,29
427,78,24
428,78,21
429,78,22
430,78,29
435,80,24
436,80,21
437,80,22
438,80,29
440,15,12
442,31,34
444,35,13
446,38,13
448,22,30
456,81,4
458,12,22
460,54,22
462,64,22
464,19,22
466,52,22
1150,159,26
470,34,22
472,23,22
474,25,22
476,35,22
478,37,22
480,39,22
483,53,41
485,82,13
486,82,35
490,82,22
493,39,39
494,39,35
506,84,27
507,84,38
508,85,22
509,85,11
510,86,22
511,86,11
512,87,22
513,87,11
514,88,22
515,88,11
516,89,22
517,89,12
518,90,22
519,90,12
520,91,22
521,91,12
522,92,22
523,92,12
524,93,22
525,93,12
526,94,22
527,94,12
528,89,8
529,89,15
530,90,8
531,90,15
536,13,24
533,91,15
534,93,8
535,93,15
537,95,18
538,95,37
539,95,22
540,96,18
541,96,37
542,96,22
543,97,18
544,97,37
545,97,22
546,41,45
547,46,45
548,50,45
549,42,45
550,48,45
551,49,45
552,43,45
553,51,45
554,47,45
555,18,45
556,17,45
557,15,45
558,16,45
559,12,45
560,13,45
561,53,45
562,54,45
563,22,18
564,98,39
565,98,13
566,98,35
567,99,39
568,99,13
569,99,35
570,100,39
571,100,13
572,100,22
573,100,35
574,101,39
575,101,13
576,101,22
577,101,35
578,102,39
579,102,13
580,102,22
581,102,35
582,98,22
583,99,22
584,86,39
585,86,36
586,86,32
587,85,39
588,85,36
589,85,32
590,77,32
591,96,24
592,22,41
593,22,19
594,54,4
595,54,41
596,8,38
597,8,29
598,22,21
599,22,27
600,22,38
601,22,29
1049,69,4
603,103,7
604,103,21
1052,70,12
606,103,38
607,103,29
608,22,40
609,104,40
610,104,21
611,104,27
612,104,38
613,104,29
614,105,40
615,105,21
616,105,27
617,105,38
618,105,29
619,106,40
620,106,21
621,106,27
622,106,38
623,106,29
624,107,40
625,107,21
626,107,27
627,107,38
628,107,29
629,15,40
1637,233,24
1054,162,18
632,15,46
633,16,46
634,22,46
635,106,46
636,105,46
637,107,46
819,81,46
821,106,4
640,105,22
822,106,7
823,14,12
643,108,46
644,108,40
645,108,21
646,108,22
647,108,27
648,108,38
649,108,29
650,109,46
651,109,40
652,109,21
653,109,22
654,109,27
655,109,38
656,109,29
657,110,46
658,110,40
659,110,21
660,110,22
661,110,27
662,110,38
663,110,29
664,111,40
665,111,21
666,111,22
667,111,27
668,111,38
669,111,29
670,112,46
671,112,40
672,112,21
673,112,27
674,112,38
675,112,29
1055,162,37
1056,162,45
1039,43,18
679,113,24
2977,357,4
681,113,4
1043,161,21
1046,103,9
1057,162,36
1058,162,22
1061,80,4
2980,358,103
1071,163,21
2984,359,103
1077,166,21
1232,190,21
1640,235,24
1040,46,18
1044,121,9
1047,68,12
1050,114,12
1053,72,12
744,17,4
1242,170,4
2978,357,90
1073,164,21
2979,357,103
705,114,4
1079,167,21
1080,52,12
2981,444,90
1151,158,26
1244,172,4
1444,222,21
1445,222,54
1448,32,56
1246,167,4
1248,150,4
1250,171,22
1252,173,22
1449,32,53
1450,32,54
1111,176,22
1115,178,22
1118,128,7
1120,118,7
724,115,4
1451,32,49
1131,168,36
1132,168,22
728,116,4
729,116,22
1141,22,36
731,15,36
732,117,36
733,117,32
734,117,22
735,117,11
1135,141,27
1143,174,15
1999,222,30
1946,301,8
1153,184,18
1154,184,34
1155,184,39
1156,184,24
745,77,10
1157,184,40
1158,184,37
1159,184,23
749,118,21
1160,184,41
751,118,38
752,118,29
857,32,46
1161,184,21
755,119,21
1162,184,22
757,119,38
858,81,9
1585,204,4
760,120,40
761,120,21
762,120,27
763,120,38
764,120,29
1163,184,27
1164,184,35
767,121,21
1165,184,38
769,121,38
770,121,29
1166,184,11
1167,184,19
773,122,21
1170,103,50
775,122,38
776,122,29
1784,278,66
814,129,40
815,129,21
816,129,27
817,129,38
818,129,29
820,126,7
824,120,4
825,128,4
826,127,4
1173,120,50
1012,104,7
1177,104,9
1183,130,4
1186,158,24
1187,166,7
1582,238,46
1258,8,7
795,126,46
796,126,40
797,126,4
798,126,21
799,126,27
800,126,38
801,126,29
802,127,46
803,127,40
804,127,21
805,127,27
806,127,38
807,127,29
808,128,40
809,128,21
810,128,27
811,128,38
812,128,29
1199,142,7
2287,357,72
1203,184,12
1204,189,4
1404,211,41
1210,188,4
1947,301,4
2000,307,21
1601,238,49
1604,128,46
1607,221,25
1612,248,25
1613,248,40
1267,164,40
1269,166,40
1271,196,22
1272,196,11
856,79,32
859,128,9
860,118,9
861,120,9
862,131,36
863,131,11
865,25,47
2019,243,4
2161,299,49
871,133,4
873,102,34
874,98,34
875,99,34
876,100,34
877,101,34
1346,199,56
1348,201,56
1614,248,4
1913,292,11
1407,213,41
2162,299,72
2288,358,72
1408,213,36
1410,215,41
1411,215,36
889,69,36
890,139,40
891,139,21
893,140,40
894,140,21
896,141,40
897,141,21
899,142,40
900,142,21
902,143,21
903,143,22
904,143,40
905,144,40
906,144,21
907,144,22
908,145,40
909,145,21
910,145,22
911,146,40
912,146,21
913,146,22
914,147,40
915,147,21
916,147,22
917,148,40
918,148,21
919,148,22
920,149,40
3053,468,74
921,149,21
922,149,22
923,150,40
924,150,21
925,150,22
926,12,32
927,151,34
928,151,13
929,151,35
938,156,22
939,156,12
1014,160,34
2164,322,49
2147,323,11
2148,242,11
2165,333,24
1015,160,13
940,41,36
941,42,36
942,43,36
943,46,36
944,47,36
945,48,36
946,50,36
947,49,36
948,96,36
949,95,36
1978,301,61
951,27,36
952,28,36
953,29,36
954,157,18
955,32,45
956,158,22
957,159,22
958,157,45
959,157,32
960,61,12
961,60,12
962,56,12
963,59,12
964,55,12
965,57,12
966,58,12
1016,160,35
2358,376,24
1440,220,21
1241,173,4
1022,155,4
1247,144,4
1243,169,4
1245,171,4
1249,170,22
1251,172,22
1441,220,27
1446,223,21
1259,180,7
1615,248,21
1847,206,4
1038,42,18
2150,332,12
1041,51,18
1045,122,9
1048,69,12
1051,113,12
1060,52,32
1266,184,48
1268,165,40
1273,197,22
2982,445,21
1075,165,21
1274,197,11
999,154,4
1171,118,50
1086,168,15
1087,168,12
1948,301,74
1347,200,56
1949,301,7
1107,174,22
1602,220,49
1113,177,22
1419,217,34
1117,179,22
1121,180,9
1122,180,46
1123,180,40
1124,180,4
1125,180,21
1127,180,38
1129,181,39
1130,181,22
1134,140,27
1136,142,27
2289,359,72
1184,186,34
1349,198,56
1168,184,36
1174,121,50
1176,63,12
1178,129,9
1436,118,33
1442,221,21
1443,221,54
1577,243,22
1962,303,37
2151,332,37
1586,207,4
1590,193,4
1403,192,17
1595,246,4
1596,246,37
1597,246,45
1598,246,22
1605,223,25
2400,224,79
2362,344,35
1622,238,33
1624,176,4
1447,223,54
1405,212,41
1950,237,64
1628,235,12
1275,199,40
1276,199,21
1277,199,27
1278,201,40
1279,201,21
1280,201,27
1281,198,40
1282,198,21
1283,198,27
1284,200,40
1285,200,21
1286,200,27
1287,158,4
1288,202,18
1289,202,34
1290,202,39
1291,202,24
1963,303,45
1293,202,4
1294,202,37
1295,202,23
1296,202,41
1297,202,21
1298,202,45
1299,202,22
1300,202,27
1301,202,11
1302,202,19
1303,202,12
1304,202,40
1305,202,36
1306,202,38
1630,230,12
1888,207,60
1632,232,12
1393,198,7
1634,234,12
1314,32,51
1315,202,51
1420,217,13
1317,32,52
1409,214,41
1635,229,24
1320,165,53
1321,166,53
1322,167,53
1323,164,53
1324,104,54
1325,128,54
1326,120,54
1327,120,55
1328,119,54
1329,119,55
1330,118,54
1331,118,55
1332,103,54
1333,103,55
1334,180,33
1976,301,22
1968,197,7
2001,254,76
1951,220,63
1967,197,4
1341,134,4
1379,135,4
1377,209,4
1380,136,4
1412,216,41
1914,294,11
1977,294,12
1980,208,52
1394,177,23
1395,176,23
1396,175,23
1397,178,23
1398,179,23
1399,206,24
1413,216,36
1401,196,7
1421,217,35
1638,230,24
1452,224,25
1453,224,40
1454,224,21
1455,225,25
1381,137,4
1382,138,4
1456,225,40
1457,225,21
1458,226,25
1459,226,40
1460,226,21
1461,196,4
1462,227,23
1463,228,23
2002,253,76
1466,197,58
1467,219,4
1641,232,24
1642,249,4
2060,319,9
1955,266,67
2061,299,56
1957,271,75
2359,377,24
1686,238,59
1518,220,53
1519,220,33
1520,218,53
1521,226,53
1522,225,53
2277,323,41
2196,334,56
2290,358,40
2201,222,68
2202,228,8
2203,294,62
1532,237,10
1533,237,37
1534,237,23
1535,237,45
1536,237,51
1537,237,12
1538,238,18
1539,238,8
1540,238,24
1541,238,4
1542,238,10
1543,238,37
1544,238,23
1545,238,7
1546,238,21
1547,238,45
1548,238,30
2293,360,32
1971,287,21
1974,208,4
1981,292,62
1982,243,37
1983,243,45
1549,238,36
1550,238,51
1551,238,32
1552,238,15
1553,238,22
1554,238,27
1555,238,11
1556,238,19
1557,237,22
1558,238,56
1578,195,4
1984,270,77
2294,360,58
2169,324,33
1579,223,53
1565,237,41
1566,237,11
1567,237,21
1568,237,27
1569,237,19
1570,242,4
1571,242,51
1985,220,77
1573,187,4
1574,241,4
1580,223,40
1581,220,40
2640,394,11
2207,292,82
1987,248,68
1988,294,24
1603,218,49
1606,222,25
1989,292,58
1747,223,4
1616,218,21
1617,218,27
1619,191,4
2985,380,8
1623,200,33
1625,205,4
1990,294,36
1629,229,12
1631,231,12
1633,233,12
1636,234,24
1639,231,24
1643,250,53
1644,250,25
1645,250,40
1646,251,53
1647,251,25
1648,251,40
1649,252,53
1650,252,25
1651,252,40
1652,252,21
1653,253,53
2952,377,62
1655,253,40
1656,253,21
1657,254,53
2827,220,99
1659,254,40
1660,255,53
2766,323,94
1662,255,40
1664,256,53
1665,256,25
1666,256,40
1667,257,53
1668,257,25
1669,257,40
2401,361,22
2403,294,4
2783,356,102
2330,266,84
2331,366,7
2828,254,30
3276,465,76
1679,218,33
1681,255,21
1682,262,40
1683,262,21
1684,262,27
2953,377,102
1687,238,60
2473,264,45
2641,394,30
1707,237,59
2004,226,76
1693,237,36
1694,237,32
2006,224,76
2957,424,66
2009,309,34
2012,313,54
2013,313,49
2014,313,56
2015,313,72
2278,356,23
1952,270,73
1992,235,4
2279,356,18
3251,431,11
1956,300,67
2003,255,76
1958,218,75
2005,225,76
1848,296,73
1712,238,58
1713,219,58
1717,246,41
1715,238,41
1716,238,61
2205,228,58
2010,310,22
1720,224,53
1721,266,21
1722,267,21
1723,238,53
1726,268,21
1727,268,54
1728,268,49
2208,315,11
2152,332,24
1731,269,21
1732,269,49
1733,270,9
2170,333,23
1735,270,21
1736,244,21
3155,504,11
1738,271,33
1739,271,27
1740,271,49
1741,242,32
1742,237,40
1743,238,9
1744,221,40
1745,222,40
1748,272,41
1749,273,41
1750,274,41
1751,275,41
1849,296,40
1753,275,36
1754,276,41
1755,276,36
1756,277,51
2016,313,53
1758,278,51
2026,312,21
1760,278,22
2360,378,49
1781,277,37
1782,277,22
2027,311,22
1785,266,53
1786,266,40
1787,266,72
2028,269,22
1789,267,72
2029,270,22
1791,222,67
1792,221,67
1793,269,73
1794,220,73
1795,222,7
1796,284,40
1797,284,68
1798,285,40
1799,285,68
1800,286,40
1801,286,68
1802,287,40
1803,287,68
1804,288,40
1805,288,68
1806,289,40
1807,289,68
1808,290,40
1809,290,68
3212,396,95
1811,218,54
1812,200,63
1813,291,4
2280,356,4
2031,268,22
1896,237,13
1817,237,60
1818,278,62
1819,269,26
1820,220,26
1821,268,26
1822,270,26
1823,244,26
2033,254,21
1825,238,26
1850,296,21
1827,292,60
2034,220,80
1829,293,60
2281,356,82
1831,275,30
2986,380,98
1833,237,72
1897,268,73
1835,294,60
2036,294,81
2038,311,58
1851,296,27
1852,226,68
1853,225,68
1854,224,68
1855,297,4
2039,314,37
2040,277,4
1858,292,19
2831,437,12
2171,333,18
1876,232,22
1877,235,22
1878,229,22
2042,315,22
2210,340,22
2044,218,72
2045,266,78
2172,333,37
1869,300,9
1870,300,40
1871,300,21
1872,300,72
1879,233,22
1880,230,22
1881,231,22
1882,234,22
2173,333,22
2448,383,73
2174,333,19
2211,341,37
2784,432,8
1891,242,58
2282,356,7
2175,333,41
2176,323,23
2177,323,18
2178,323,8
2179,323,10
2049,311,4
2291,357,40
1907,245,22
1908,299,12
2180,323,74
2181,323,26
1911,299,24
2182,323,52
1915,293,11
1917,299,37
2642,394,45
2184,323,45
1920,299,41
1921,299,23
2185,323,58
2186,323,19
2187,323,61
1925,299,36
1926,292,52
1927,294,52
1928,293,52
1929,299,18
2188,315,37
1931,263,18
2189,338,74
2364,358,90
2191,338,26
3252,431,7
1938,233,30
1940,263,22
1941,272,61
1942,273,61
1943,274,61
1944,276,61
1945,275,61
3204,504,8
2051,317,72
2052,318,21
2168,333,60
2054,318,83
2055,296,83
2056,266,7
2057,267,4
2058,233,7
2292,359,40
2361,379,49
2063,233,62
2064,318,27
2065,315,61
2066,318,75
2146,313,27
3253,431,94
2069,320,79
2070,320,40
2071,321,79
2072,321,40
2073,235,26
2074,301,26
2075,311,7
2076,263,7
2077,228,7
2078,227,7
2079,292,7
2080,294,7
2081,293,7
2082,322,83
2083,322,27
2084,322,73
2085,322,21
3213,396,32
2087,323,12
2088,323,37
2089,323,4
2090,323,22
2091,323,24
2092,324,21
2154,245,18
2832,437,37
2095,225,79
2987,380,82
2988,380,30
2989,380,45
2192,338,7
2100,225,30
2833,437,4
2834,437,11
2103,220,30
2990,380,24
2991,380,94
2106,323,30
2835,437,22
2992,380,61
2111,308,4
2837,439,72
2114,324,30
3156,311,24
3157,506,12
2954,376,4
3158,506,8
2365,266,90
3159,506,4
2955,376,94
3160,506,62
2841,443,72
3161,506,7
3162,506,30
3163,506,102
3164,506,15
2128,319,21
2129,301,21
2995,486,82
2996,377,8
2132,254,7
2133,225,7
2846,439,103
2135,324,7
2136,323,7
2193,338,22
2194,338,61
2195,339,21
2206,233,82
2209,263,11
2213,341,26
2214,341,30
2215,341,81
2216,341,18
2283,356,32
2218,342,27
2219,342,33
2220,342,63
2221,324,27
2222,343,27
2223,343,80
2224,343,33
2225,344,13
2226,344,34
2227,286,54
2228,288,54
2229,284,54
2230,285,54
2231,289,54
2232,290,54
2233,287,54
2234,222,9
2235,225,9
2997,424,94
2998,368,7
3277,465,4
2239,233,11
2240,345,12
3068,493,4
2999,368,21
2243,345,11
2244,345,82
2245,345,52
2246,345,22
2247,315,8
2248,294,82
2249,346,41
2250,294,58
2256,293,12
2257,352,77
2258,352,73
2259,352,80
2260,352,21
2261,353,77
2262,353,73
2263,353,80
2264,353,21
2265,355,77
2266,355,73
2267,355,21
2268,354,73
2269,354,21
2270,324,80
2271,334,80
2272,302,4
2273,293,36
3000,368,99
2275,240,4
2276,324,63
2284,356,22
2285,356,19
2286,356,24
3002,462,21
2298,361,13
2299,361,8
2300,361,32
2301,362,23
2302,233,58
2303,240,11
2304,240,22
2402,367,22
3003,377,4
2307,339,26
2308,339,7
2309,364,40
2310,364,21
2311,364,53
2312,364,76
2313,365,40
2314,365,21
2315,365,53
2316,365,76
2317,366,40
2318,366,21
2319,366,53
2320,366,76
2370,379,88
2404,293,4
2755,357,21
3278,465,7
2335,324,75
2336,226,79
3214,396,58
2338,367,41
3004,438,99
3007,462,99
2341,368,76
3009,377,94
2343,369,53
2344,369,76
2345,334,53
2346,353,53
2347,371,79
2348,371,40
2349,372,79
2350,372,40
2351,373,79
2352,373,40
2353,374,8
2354,375,73
2355,263,45
2356,343,63
2368,380,37
2371,379,75
2372,378,88
2373,378,75
2374,218,88
2375,381,83
2376,381,89
2377,382,83
2378,382,89
2379,383,83
2380,383,89
3279,465,99
2382,226,4
2383,385,41
2384,386,83
2385,386,21
2386,324,88
2387,334,54
3010,467,23
3011,467,18
3012,467,37
3013,467,4
2392,377,12
2836,438,21
3055,479,96
2395,376,12
2838,440,72
2397,376,19
2398,356,12
2399,356,81
2405,220,4
2408,293,23
2409,293,19
2410,361,11
2411,324,76
2412,292,22
2413,292,32
2414,377,7
2643,385,30
2416,323,82
3056,479,4
2418,361,58
2671,315,94
2420,359,90
2421,334,72
2422,318,26
2423,321,26
2424,362,4
2425,339,4
2426,338,4
2427,333,4
2428,340,4
2429,368,30
2430,366,30
2993,315,81
2432,386,27
2433,383,27
2434,381,27
2435,382,27
2436,379,27
2437,378,27
2438,323,56
2439,222,92
2440,390,83
2441,390,27
2442,390,73
2443,390,21
3285,534,93
3286,534,76
2530,411,11
2449,334,27
2450,372,21
2451,369,21
2452,378,21
2453,315,24
2454,218,85
2455,244,85
2456,312,85
2457,220,85
2458,269,85
2459,270,85
2460,324,85
2461,399,18
2665,419,27
2666,419,40
2464,400,23
2465,267,67
2467,401,37
2468,402,11
2469,401,41
2470,403,37
2488,406,23
2472,404,21
2489,407,22
2477,405,41
2478,401,18
2479,395,23
2480,395,18
2481,403,23
2482,403,12
2483,403,18
2484,403,4
2485,403,56
2486,403,24
2487,403,41
2490,356,15
2491,377,15
2492,376,15
2493,345,15
2842,444,72
2496,408,4
2770,323,51
2498,367,62
2499,408,22
2500,409,21
2501,410,11
2502,410,32
2503,315,45
2504,315,82
2505,321,68
2506,373,68
2507,372,68
2511,223,68
2509,370,68
2510,371,68
2512,223,9
2513,393,27
2514,366,93
2515,364,93
2516,365,93
2517,369,93
2518,368,93
2519,317,40
3001,369,4
2521,369,40
2522,368,40
2523,356,40
2843,444,103
2767,380,11
2527,392,23
2528,263,23
2533,414,40
2534,414,53
2536,398,67
2547,392,12
2548,392,8
2847,440,103
2550,392,98
2551,392,52
2552,392,30
2553,392,56
3014,467,26
3015,467,7
3016,467,56
2554,392,15
2555,392,22
2556,392,19
2557,376,23
2558,376,7
2559,376,30
2560,376,32
2561,376,56
2839,441,72
2563,377,30
3057,479,95
3058,479,98
2566,229,4
2567,229,95
2568,229,11
2569,229,7
2570,229,30
2571,229,32
2572,233,4
2573,233,95
2574,233,32
2575,232,4
2576,232,95
2577,232,11
2578,232,7
2579,232,30
2580,232,32
2581,235,95
2582,235,11
2583,235,7
2584,235,30
2585,235,32
2586,231,4
2587,231,95
2588,231,11
2589,231,7
2590,231,30
2591,231,32
2592,230,4
2593,230,95
2594,230,11
2595,230,7
2596,230,30
2597,230,32
2598,234,4
2599,234,95
2600,234,11
2601,234,7
2602,234,30
2603,234,32
2604,345,7
2605,393,83
2606,393,89
2607,416,83
2608,416,27
2609,416,89
2610,416,21
2611,417,83
2612,418,89
2613,356,98
2614,356,30
2615,380,22
2616,323,96
2617,323,95
2618,323,32
2619,408,74
2620,408,95
2621,408,26
2622,408,7
2623,408,94
2624,311,95
2625,315,30
2626,362,8
2627,362,30
3280,463,30
3281,463,99
3059,479,11
3060,479,7
2632,345,30
2633,345,58
2634,402,82
2635,402,30
2636,402,32
2637,410,82
2638,410,97
2639,410,30
2644,395,30
2645,404,54
2646,404,88
2647,404,73
2648,404,33
2649,404,72
2650,404,53
2651,392,24
2652,407,12
3115,468,95
2654,407,37
3116,468,61
3118,356,8
2667,419,73
3165,506,24
3120,482,96
3122,356,51
2668,419,21
2662,407,24
2663,407,41
2664,407,23
2669,403,52
2670,233,19
2707,405,21
2673,420,13
2674,420,11
2676,263,58
2677,318,89
3282,463,76
2679,362,94
2680,385,94
2771,411,82
3287,535,93
2683,420,30
2684,420,58
2994,380,81
3005,484,99
3205,509,97
2688,420,51
2689,421,51
2761,430,11
2691,384,41
2692,420,94
2695,362,96
2696,362,98
2697,420,96
2698,420,98
2699,385,96
3061,479,30
2701,315,98
2702,395,98
2708,405,99
3017,467,24
2710,323,97
3070,493,11
2712,420,97
3071,493,82
2714,424,12
2715,424,8
2738,235,37
2717,424,98
3072,494,23
2719,424,30
2720,424,56
2721,424,15
2722,424,22
3073,494,12
3074,494,18
2739,425,53
2726,423,12
3075,494,37
2844,445,72
3076,494,102
2742,324,53
2743,343,53
2732,423,56
2744,271,53
2745,426,83
2746,427,83
2747,428,83
2737,423,7
2748,427,21
2749,428,21
3008,422,99
2751,359,53
3288,535,76
2753,323,98
2754,358,21
3018,467,41
2757,429,22
2758,429,34
2762,421,11
2785,345,26
2768,409,7
2769,395,11
2787,311,26
2772,411,97
2773,421,97
2774,421,32
2775,411,8
2776,405,49
2777,431,45
3133,311,12
2779,432,11
2780,432,41
2781,397,74
2782,324,99
2786,409,26
2789,324,73
2790,393,26
3006,464,99
3206,509,24
3019,437,23
3020,437,8
3021,437,51
3022,437,96
3023,437,10
3024,437,74
3025,437,26
3026,437,98
3027,437,82
3028,437,97
3029,437,7
3030,437,30
3031,437,32
3032,437,45
3033,437,58
2813,403,26
3034,437,94
2815,386,26
2848,441,103
2817,416,26
3035,437,41
2850,443,103
3283,464,7
2821,397,4
2822,254,26
2823,366,26
3166,506,94
2851,446,35
2919,463,93
2920,465,93
2854,447,35
2921,464,93
2922,466,68
2857,448,35
2923,466,21
2859,448,72
2860,449,90
2924,467,22
2925,468,26
2926,468,22
2927,469,21
2865,449,35
2866,451,90
2867,451,72
3036,424,7
2869,452,72
2891,437,102
2871,453,40
2872,453,21
2873,453,93
2874,453,99
2875,453,76
2876,454,40
2877,454,21
2878,454,93
2879,454,99
2880,454,76
2881,455,40
2882,455,21
2883,455,93
2884,455,99
2885,456,40
2886,456,76
2887,457,40
2888,457,76
2889,458,40
2890,458,76
2892,437,56
2893,437,15
2894,437,24
2895,459,27
2896,460,27
2897,461,27
2898,462,27
2899,462,53
2900,461,53
2901,460,53
2902,455,76
2903,463,53
2904,464,53
2905,465,53
2906,450,35
2907,438,27
2908,438,85
2909,438,33
2910,460,77
2911,460,73
2912,459,77
2913,459,73
2914,459,53
2915,461,77
2916,461,73
2917,462,77
2918,462,73
2928,471,68
2929,472,68
2930,473,68
2931,474,68
3274,394,104
2933,470,40
2934,471,40
2935,473,40
3275,370,40
2937,472,40
2938,474,40
2939,463,40
2940,465,40
2941,464,40
2942,445,40
3037,424,58
3284,464,30
2948,476,68
2949,476,40
2950,477,68
2951,477,40
2956,423,4
2958,467,12
3145,504,26
2960,479,18
3179,482,62
3180,482,24
2963,482,66
3181,456,68
3146,504,30
2966,479,22
3183,458,68
2968,482,22
3184,401,12
3185,465,49
2971,484,85
2972,485,85
2973,485,63
3187,464,49
2975,482,12
2976,479,12
3207,498,27
3042,362,7
3043,362,66
3044,362,58
3045,362,22
3046,385,4
3047,385,7
3048,385,22
3049,395,4
3050,395,7
3077,494,56
3078,494,22
3079,494,24
3080,494,41
3081,495,27
3082,495,40
3083,495,73
3084,495,21
3085,496,97
3086,497,23
3087,497,18
3088,497,37
3089,497,4
3090,497,82
3091,497,97
3092,497,7
3093,497,30
3094,497,102
3095,497,41
3096,497,22
3097,429,4
3098,429,82
3099,429,102
3100,429,66
3101,429,94
3102,499,23
3103,499,66
3104,499,96
3105,499,4
3106,499,98
3107,499,7
3108,499,30
3109,499,94
3110,500,102
3111,501,97
3112,501,32
3113,407,27
3114,407,21
3117,401,95
3121,431,96
3123,431,98
3124,444,40
3125,356,94
3126,468,94
3127,467,94
3128,394,82
3131,431,18
3132,431,37
3134,498,33
3135,495,33
3136,495,53
3137,466,33
3138,502,85
3139,502,63
3140,503,85
3141,503,63
3142,498,85
3143,466,85
3144,438,53
3147,482,56
3148,505,95
3149,401,8
3150,479,24
3151,482,30
3152,431,30
3153,484,27
3154,485,27
3167,507,12
3168,507,8
3169,507,4
3170,507,7
3171,507,30
3172,507,66
3173,507,58
3174,507,56
3175,507,15
3176,507,22
3177,507,24
3178,507,94
3182,457,68
3186,463,49
3188,482,4
3189,482,7
3190,498,49
3191,431,97
3192,438,40
3208,466,27
3194,508,11
3195,431,4
3196,468,4
3197,394,4
3198,326,72
3199,498,40
3200,498,103
3201,498,76
3202,495,103
3203,495,76
3209,218,34
3215,431,61
3211,493,104
3216,497,58
3217,497,61
3218,504,97
3219,504,58
3220,504,61
3221,504,96
